model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,5,18,23,20,4,No
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,5,18,24,21,4,No
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,5,19,24,21,4,No
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,pickup,5,19,24,21,4,No
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,pickup,5,19,25,22,4,No
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,pickup,5,17,22,19,3,No
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,pickup,5,18,23,20,4,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,5,17,21,19,3,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,5,17,22,19,3,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,5,18,25,21,4,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,5,16,21,18,3,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,5,16,22,19,3,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,5,17,23,19,3,No
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,pickup,3,16,20,17,3,No
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,pickup,3,16,21,18,3,No
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,pickup,3,17,23,19,3,No
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,pickup,3,15,19,17,3,No
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,pickup,3,16,20,17,3,No
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,pickup,3,16,22,18,3,No
FORD F150 Raptor,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,3,15,18,16,2,No
FORD Flex,3.5,6,SemiAuto-6,2WD,Gasoline,standard SUV,3,16,23,19,3,No
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3,15,21,17,3,No
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3,16,22,18,3,No
FORD Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,midsize car,7,23,34,27,6,No
FORD Fusion,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5,21,31,25,5,No
FORD Fusion,2.0,4,SemiAuto-6,4WD,Gasoline,midsize car,5,20,29,23,5,No
FORD Fusion,2.5,4,Auto-6,2WD,Gasoline,midsize car,5,21,32,25,5,No
FORD Fusion,2.7,6,SemiAuto-6,4WD,Gasoline,midsize car,5,17,26,20,4,No
FORD Fusion Energi Plug-in Hybrid,2.0,4,CVT,2WD,Gasoline/Electricity,midsize car,7,43/102,41/91,42/97,10,Elite
FORD Fusion Hybrid,2.0,4,CVT,2WD,Gasoline,midsize car,7,43,41,42,9,Yes
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,special purpose,3,19,27,22,4,No
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,special purpose,3,20,27,23,5,No
GENESIS G80,3.3,6,SemiAuto-8,2WD,Gasoline,large car,3,17,25,20,4,No
GENESIS G80,3.3,6,SemiAuto-8,4WD,Gasoline,large car,3,17,24,20,4,No
GENESIS G80,3.8,6,SemiAuto-8,2WD,Gasoline,large car,5,19,27,22,4,No
GENESIS G80,3.8,6,SemiAuto-8,4WD,Gasoline,large car,5,18,25,20,4,No
GENESIS G80,5.0,8,SemiAuto-8,2WD,Gasoline,large car,5,16,24,19,3,No
GENESIS G80,5.0,8,SemiAuto-8,4WD,Gasoline,large car,5,15,23,18,3,No
GENESIS G90,3.3,6,SemiAuto-8,2WD,Gasoline,large car,3,17,24,20,4,No
GENESIS G90,3.3,6,SemiAuto-8,4WD,Gasoline,large car,3,17,24,20,4,No
GENESIS G90,5.0,8,SemiAuto-8,2WD,Gasoline,large car,5,16,24,19,3,No
GENESIS G90,5.0,8,SemiAuto-8,4WD,Gasoline,large car,5,15,23,18,3,No
GMC Acadia,2.5,4,Auto-6,2WD,Gasoline,standard SUV,3,21,26,23,5,No
GMC Acadia,2.5,4,Auto-6,4WD,Gasoline,standard SUV,3,21,25,23,5,No
GMC Acadia,3.6,6,Auto-6,2WD,Gasoline,standard SUV,5,18,25,21,4,No
GMC Acadia,3.6,6,Auto-6,4WD,Gasoline,standard SUV,5,17,25,20,4,No
GMC Canyon,2.5,4,Auto-6,2WD,Gasoline,pickup,5,20,26,22,4,No
GMC Canyon,2.5,4,Auto-6,4WD,Gasoline,pickup,5,19,24,21,4,No
GMC Canyon,2.5,4,Man-6,2WD,Gasoline,pickup,5,20,26,22,4,No
GMC Canyon,2.8,4,Auto-6,2WD,Diesel,pickup,3,22,30,25,4,No
GMC Canyon,2.8,4,Auto-6,4WD,Diesel,pickup,3,20,28,23,4,No
GMC Canyon,3.6,6,Auto-8,2WD,Gasoline,pickup,5,18,25,20,4,No
GMC Canyon,3.6,6,Auto-8,2WD,Gasoline,special purpose,5,15,15,15,2,No
GMC Canyon,3.6,6,Auto-8,4WD,Gasoline,pickup,5,17,24,19,3,No
GMC Sierra 15,4.3,6,Auto-6,2WD,Ethanol/Gas,pickup,5,12/18,16/24,14/20,4,No
GMC Sierra 15,4.3,6,Auto-6,4WD,Ethanol/Gas,pickup,5,12/17,15/22,13/19,3,No
GMC Sierra 15,5.3,8,Auto-6,2WD,Ethanol/Gas,pickup,3,12/16,17/23,14/19,3,No
GMC Sierra 15,5.3,8,Auto-6,2WD,Gasoline,pickup,3,16,23,19,3,No
GMC Sierra 15,5.3,8,Auto-6,2WD,Gasoline,special purpose,3,15,20,17,3,No
GMC Sierra 15,5.3,8,Auto-6,4WD,Gasoline,pickup,3,16,22,18,3,No
GMC Sierra 15,5.3,8,Auto-6,4WD,Gasoline,special purpose,3,15,19,17,3,No
GMC Sierra 15,5.3,8,Auto-8,2WD,Gasoline,pickup,3,18,24,20,4,No
GMC Sierra 15,5.3,8,Auto-8,2WD,Gasoline,pickup,3,16,22,18,3,No
GMC Sierra 15,5.3,8,Auto-8,4WD,Gasoline,pickup,3,16,21,18,3,No
GMC Sierra 15,5.3,8,Auto-8,4WD,Gasoline,pickup,3,15,20,17,3,No
GMC Sierra 15,6.2,8,Auto-8,2WD,Gasoline,pickup,3,15,21,17,3,No
GMC Sierra 15,6.2,8,Auto-8,4WD,Gasoline,pickup,3,15,20,17,3,No
GMC Terrain,1.5,4,Auto-9,2WD,Gasoline,small SUV,5,26,30,28,6,No
GMC Terrain,1.5,4,Auto-9,4WD,Gasoline,small SUV,5,24,28,26,5,No
GMC Terrain,1.6,4,Auto-6,2WD,Diesel,small SUV,3,28,39,32,6,No
GMC Terrain,1.6,4,Auto-6,4WD,Diesel,small SUV,3,28,38,32,6,No
GMC Terrain,2.0,4,Auto-9,2WD,Gasoline,small SUV,5,22,28,24,5,No
GMC Terrain,2.0,4,Auto-9,4WD,Gasoline,small SUV,5,21,26,23,5,No
GMC Yukon 1500,5.3,8,Auto-6,2WD,Ethanol/Gas,standard SUV,3,12/16,17/23,14/19,3,No
GMC Yukon 1500,5.3,8,Auto-6,2WD,Gasoline,standard SUV,3,16,23,19,3,No
GMC Yukon 1500,5.3,8,Auto-6,4WD,Ethanol/Gas,standard SUV,3,11/16,16/22,13/18,3,No
GMC Yukon 1500,5.3,8,Auto-6,4WD,Gasoline,standard SUV,3,16,22,18,3,No
GMC Yukon 1500,6.2,8,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
GMC Yukon 1500,6.2,8,Auto-10,4WD,Gasoline,standard SUV,3,14,22,17,3,No
GMC Yukon 1500 XL,5.3,8,Auto-6,2WD,Ethanol/Gas,standard SUV,3,12/16,17/23,14/19,3,No
GMC Yukon 1500 XL,5.3,8,Auto-6,2WD,Gasoline,standard SUV,3,16,23,19,3,No
GMC Yukon 1500 XL,6.2,8,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
GMC Yukon XL 1500,5.3,8,Auto-6,4WD,Ethanol/Gas,standard SUV,3,11/16,15/22,12/18,3,No
GMC Yukon XL 1500,5.3,8,Auto-6,4WD,Gasoline,standard SUV,3,15,22,18,3,No
GMC Yukon XL 1500,6.2,8,Auto-10,4WD,Gasoline,standard SUV,3,14,21,16,2,No
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,7,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,3,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,Man-6,2WD,Gasoline,large car,3,29,38,33,8,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,7,30,36,32,7,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,3,30,36,32,7,Yes
HONDA Fit,1.5,4,CVT,2WD,Gasoline,station wagon,7,33,40,36,8,Yes
HONDA Fit,1.5,4,Man-6,2WD,Gasoline,station wagon,3,29,36,31,7,Yes
HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,station wagon,7,31,36,33,8,Yes
HONDA HR-V,1.8,4,CVT,2WD,Gasoline,station wagon,3,28,34,31,7,Yes
HONDA HR-V,1.8,4,CVT,4WD,Gasoline,station wagon,3,27,31,29,6,No
HONDA HR-V,1.8,4,Man-6,2WD,Gasoline,station wagon,3,25,33,28,6,No
HONDA HR-V,1.8,4,SCV-7,2WD,Gasoline,station wagon,3,28,34,31,7,Yes
HONDA HR-V,1.8,4,SCV-7,4WD,Gasoline,station wagon,3,27,31,29,6,No
HONDA Ridgeline,3.5,6,Auto-6,2WD,Gasoline,pickup,3,19,26,22,4,No
HONDA Ridgeline,3.5,6,Auto-6,4WD,Gasoline,pickup,3,18,25,21,4,No
HYUNDAI Elantra,1.4,4,AutoMan-7,2WD,Gasoline,midsize car,3,32,40,35,8,Yes
HYUNDAI Elantra,1.6,4,AutoMan-7,2WD,Gasoline,midsize car,3,26,33,29,6,No
HYUNDAI Elantra,1.6,4,Man-6,2WD,Gasoline,midsize car,3,22,30,25,5,No
HYUNDAI Elantra,2.0,4,Man-6,2WD,Gasoline,midsize car,5,26,36,29,6,No
HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7,28,37,32,7,Yes
HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5,28,37,32,7,Yes
HYUNDAI Elantra GT,1.6,4,AutoMan-7,2WD,Gasoline,large car,3,26,32,28,6,No
HYUNDAI Elantra GT,1.6,4,Man-6,2WD,Gasoline,large car,3,22,29,25,5,No
HYUNDAI Elantra GT,2.0,4,Man-6,2WD,Gasoline,large car,3,23,31,26,5,No
HYUNDAI Elantra GT,2.0,4,SemiAuto-6,2WD,Gasoline,large car,3,24,32,27,6,No
HYUNDAI Elantra SE,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7,29,38,33,8,Yes
HYUNDAI Elantra SE,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5,29,38,33,8,Yes
HYUNDAI Santa Fe,3.3,6,SemiAuto-6,2WD,Gasoline,small SUV,3,18,25,21,4,No
HYUNDAI Santa Fe,3.3,6,SemiAuto-6,4WD,Gasoline,small SUV,3,18,24,20,4,No
HYUNDAI Santa Fe Sport,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3,20,28,23,5,No
HYUNDAI Santa Fe Sport,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3,19,26,22,4,No
HYUNDAI Santa Fe Sport,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,5,21,27,24,5,No
HYUNDAI Santa Fe Sport,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,5,20,26,22,4,No
HYUNDAI Santa Fe Sport Ultimate,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3,20,27,23,5,No
HYUNDAI Santa Fe Sport Ultimate,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3,19,24,21,4,No
HYUNDAI Santa Fe Ultimate,3.3,6,SemiAuto-6,2WD,Gasoline,small SUV,3,17,23,20,4,No
HYUNDAI Santa Fe Ultimate,3.3,6,SemiAuto-6,4WD,Gasoline,small SUV,3,17,22,19,3,No
HYUNDAI Sonata,1.6,4,AutoMan-7,2WD,Gasoline,large car,5,28,37,31,7,Yes
HYUNDAI Sonata,2.0,4,SemiAuto-8,2WD,Gasoline,large car,5,23,32,26,5,No
HYUNDAI Sonata,2.4,4,SemiAuto-6,2WD,Gasoline,large car,7,25,35,28,6,No
HYUNDAI Sonata,2.4,4,SemiAuto-6,2WD,Gasoline,large car,5,25,35,28,6,No
HYUNDAI Sonata SE,2.4,4,SemiAuto-6,2WD,Gasoline,large car,7,25,36,29,6,No
HYUNDAI Sonata SE,2.4,4,SemiAuto-6,2WD,Gasoline,large car,5,25,36,29,6,No
INFINITI Q50,2.0,4,SemiAuto-7,2WD,Gasoline,midsize car,3,23,30,25,5,No
INFINITI Q50,2.0,4,SemiAuto-7,4WD,Gasoline,midsize car,3,22,28,24,5,No
INFINITI Q50,3.0,6,SemiAuto-7,2WD,Gasoline,midsize car,3,20,29,23,5,No
INFINITI Q50,3.0,6,SemiAuto-7,4WD,Gasoline,midsize car,3,19,27,22,4,No
INFINITI Q50 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,small car,3,27,32,29,6,No
INFINITI Q50 Hybrid,3.5,6,SemiAuto-7,4WD,Gasoline,small car,3,26,30,28,6,No
INFINITI Q50 Red Sport,3.0,6,SemiAuto-7,2WD,Gasoline,midsize car,3,20,26,22,4,No
INFINITI Q50 Red Sport,3.0,6,SemiAuto-7,4WD,Gasoline,midsize car,3,19,26,22,4,No
INFINITI Q70,3.7,6,SemiAuto-7,2WD,Gasoline,midsize car,3,18,25,21,4,No
INFINITI Q70,3.7,6,SemiAuto-7,4WD,Gasoline,midsize car,3,18,24,20,4,No
INFINITI Q70,5.6,8,SemiAuto-7,2WD,Gasoline,midsize car,3,16,24,19,3,No
INFINITI Q70,5.6,8,SemiAuto-7,4WD,Gasoline,midsize car,3,16,23,18,3,No
INFINITI Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,midsize car,3,28,33,30,7,Yes
INFINITI QX30,2.0,4,AutoMan-7,2WD,Gasoline,small car,3,24,33,27,6,No
INFINITI QX30,2.0,4,AutoMan-7,4WD,Gasoline,small car,3,21,30,25,5,No
JAGUAR F-Pace,2.0,4,SemiAuto-8,4WD,Diesel,small SUV,1,26,33,29,5,No
JAGUAR F-Pace,2.0,4,SemiAuto-8,4WD,Gasoline,small SUV,7,22,27,24,5,No
JAGUAR F-Pace,3.0,6,SemiAuto-8,4WD,Gasoline,small SUV,7,18,23,20,4,No
JAGUAR F-Type Convertible,3.0,6,Man-6,2WD,Gasoline,small car,7,16,24,19,3,No
JAGUAR F-Type Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7,20,28,23,5,No
JAGUAR F-Type Coupe,3.0,6,Man-6,2WD,Gasoline,small car,7,16,24,19,3,No
JAGUAR F-Type Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7,20,28,23,5,No
JAGUAR F-Type R Convertible,5.0,8,SemiAuto-8,4WD,Gasoline,small car,3,15,23,18,3,No
JAGUAR F-Type R Coupe,5.0,8,SemiAuto-8,4WD,Gasoline,small car,3,15,23,18,3,No
JAGUAR F-Type S Convertible,3.0,6,Man-6,2WD,Gasoline,small car,7,15,24,18,3,No
JAGUAR F-Type S Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7,19,27,22,4,No
JAGUAR F-Type S Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,small car,7,18,26,21,4,No
JAGUAR F-Type S Coupe,3.0,6,Man-6,2WD,Gasoline,small car,7,15,24,18,3,No
JAGUAR F-Type S Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7,19,27,22,4,No
JAGUAR F-Type S Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,7,18,26,21,4,No
JAGUAR XE,2.0,4,SemiAuto-8,2WD,Diesel,small car,1,32,42,36,7,No
JAGUAR XE,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7,25,34,28,6,No
JAGUAR XE,2.0,4,SemiAuto-8,4WD,Diesel,small car,1,30,40,34,7,No
JAGUAR XE,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7,24,34,28,6,No
JAGUAR XE,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7,21,30,24,5,No
JAGUAR XE,3.0,6,SemiAuto-8,4WD,Gasoline,small car,7,20,29,23,5,No
JAGUAR XF,2.0,4,SemiAuto-8,2WD,Diesel,midsize car,1,31,42,35,7,No
JAGUAR XF,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,7,25,34,28,6,No
JAGUAR XF,2.0,4,SemiAuto-8,4WD,Diesel,midsize car,1,30,40,34,7,No
JAGUAR XF,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,7,23,33,27,6,No
JAGUAR XF,3.0,6,SemiAuto-8,2WD,Gasoline,midsize car,7,20,29,23,5,No
JAGUAR XF,3.0,6,SemiAuto-8,4WD,Gasoline,midsize car,7,20,28,23,5,No
JEEP Cherokee,2.4,4,Auto-9,2WD,Ethanol/Gas,small SUV,3,15/21,22/30,18/25,5,No
JEEP Cherokee,2.4,4,Auto-9,2WD,Gasoline,small SUV,7,21,30,25,5,No
JEEP Cherokee,2.4,4,Auto-9,4WD,Ethanol/Gas,small SUV,3,14/21,21/28,17/23,5,No
JEEP Cherokee,2.4,4,Auto-9,4WD,Gasoline,small SUV,3,21,28,23,5,No
JEEP Cherokee,3.2,6,Auto-9,2WD,Gasoline,small SUV,3,21,29,24,5,No
JEEP Cherokee,3.2,6,Auto-9,4WD,Gasoline,small SUV,3,20,27,23,5,No
JEEP Cherokee 4x4 Active Drive II,2.4,4,Auto-9,4WD,Gasoline,small SUV,7,21,27,23,5,No
JEEP Cherokee 4x4 Active Drive II,2.4,4,Auto-9,4WD,Gasoline,small SUV,1,21,27,23,5,No
JEEP Cherokee 4x4 Active Drive II,3.2,6,Auto-9,4WD,Gasoline,small SUV,3,18,26,21,4,No
JEEP Cherokee Trailhawk,2.4,4,Auto-9,4WD,Gasoline,small SUV,7,19,25,22,4,No
JEEP Cherokee Trailhawk,2.4,4,Auto-9,4WD,Gasoline,small SUV,1,19,25,22,4,No
JEEP Cherokee Trailhawk,3.2,6,Auto-9,4WD,Gasoline,small SUV,3,18,24,21,4,No
JEEP Compass,2.4,4,Auto-6,2WD,Gasoline,small SUV,7,22,31,25,5,No
JEEP Compass,2.4,4,Auto-9,4WD,Gasoline,small SUV,7,22,30,25,5,No
JEEP Compass,2.4,4,Man-6,2WD,Gasoline,small SUV,3,23,32,26,5,No
JEEP Compass,2.4,4,Man-6,4WD,Gasoline,small SUV,3,22,31,25,5,No
JEEP Grand Cherokee,3.6,6,Auto-8,2WD,Gasoline,standard SUV,5,19,26,21,4,No
JEEP Grand Cherokee,3.6,6,Auto-8,4WD,Gasoline,standard SUV,5,18,25,21,4,No
JEEP Grand Cherokee,5.7,8,Auto-8,4WD,Gasoline,standard SUV,3,14,22,17,3,No
JEEP Grand Cherokee SRT,6.4,8,Auto-8,4WD,Gasoline,standard SUV,1,13,19,15,2,No
KARMA Revero,2.0,4,Auto-1,2WD,Gasoline/Electricity,small car,1,20/59,21/61,20/60,10,No
KIA Forte,2.0,4,Man-6,2WD,Gasoline,midsize car,5,25,34,28,6,No
KIA Forte,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7,29,37,32,7,Yes
KIA Forte,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5,29,37,32,7,Yes
KIA Forte,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7,25,33,28,6,No
KIA Forte,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,3,25,33,28,6,No
KIA Forte5,1.6,4,AutoMan-7,2WD,Gasoline,large car,3,25,30,27,6,No
KIA Forte5,1.6,4,Man-6,2WD,Gasoline,large car,3,23,29,25,5,No
KIA Forte5,2.0,4,SemiAuto-6,2WD,Gasoline,large car,3,25,34,28,6,No
KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,large car,3,28,37,31,7,Yes
KIA Optima,2.0,4,SemiAuto-6,2WD,Gasoline,large car,3,22,31,25,5,No
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,large car,7,24,34,28,6,No
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,large car,5,24,34,28,6,No
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,large car,7,25,36,29,6,No
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,large car,5,25,36,29,6,No
KIA Rio,1.6,4,Man-6,2WD,Gasoline,small car,3,29,37,32,7,Yes
KIA Rio,1.6,4,SemiAuto-6,2WD,Gasoline,small car,3,28,37,32,7,Yes
KIA Sedona,3.3,6,SemiAuto-6,2WD,Gasoline,minivan,3,18,24,20,4,No
KIA Sedona SX,3.3,6,SemiAuto-6,2WD,Gasoline,minivan,3,18,25,21,4,No
KIA Sedona SXL,3.3,6,SemiAuto-6,2WD,Gasoline,minivan,3,17,22,19,3,No
KIA Sorento,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3,20,27,23,5,No
KIA Sorento,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3,19,25,22,4,No
KIA Sorento,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,5,21,28,24,5,No
KIA Sorento,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,5,21,25,22,4,No
KIA Sorento,3.3,6,SemiAuto-6,2WD,Gasoline,small SUV,3,18,25,20,4,No
KIA Sorento,3.3,6,SemiAuto-6,4WD,Gasoline,small SUV,3,17,23,19,3,No
KIA Sorento FE,3.3,6,SemiAuto-6,4WD,Gasoline,small SUV,3,18,25,21,4,No
KIA Soul,1.6,4,AutoMan-7,2WD,Gasoline,station wagon,3,26,31,28,6,No
KIA Soul,1.6,4,Man-6,2WD,Gasoline,station wagon,3,24,30,27,6,No
KIA Soul,1.6,4,SemiAuto-6,2WD,Gasoline,station wagon,3,25,30,27,6,No
KIA Soul,2.0,4,SemiAuto-6,2WD,Gasoline,station wagon,7,25,30,27,6,No
KIA Soul,2.0,4,SemiAuto-6,2WD,Gasoline,station wagon,5,25,30,27,6,No
KIA Sportage,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3,21,26,23,5,No
KIA Sportage,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3,20,23,21,4,No
KIA Sportage,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,7,22,29,25,5,No
KIA Sportage,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,5,22,29,25,5,No
KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,7,21,25,23,5,No
KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,5,21,25,23,5,No
KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,7,23,30,26,5,No
KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,5,23,30,26,5,No
KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,7,21,25,22,4,No
KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,5,21,25,22,4,No
LAMBORGHINI Aventador Coupe,6.5,12,AMS-7,4WD,Gasoline,small car,1,10,17,12,1,No
LAMBORGHINI Aventador Roadster,6.5,12,AMS-7,4WD,Gasoline,small car,1,10,16,12,1,No
LAMBORGHINI Aventador S Coupe,6.5,12,AMS-7,4WD,Gasoline,small car,1,10,17,12,1,No
LAMBORGHINI Aventador S Roadster,6.5,12,AMS-7,4WD,Gasoline,small car,1,10,16,12,1,No
LAND ROVER Range Rover Velar,2.0,4,SemiAuto-8,4WD,Diesel,small SUV,1,26,30,28,5,No
LAND ROVER Range Rover Velar,2.0,4,SemiAuto-8,4WD,Gasoline,small SUV,7,21,27,23,5,No
LAND ROVER Range Rover Velar,3.0,6,SemiAuto-8,4WD,Gasoline,small SUV,7,18,24,20,4,No
LEXUS GX 460,4.6,8,SemiAuto-6,4WD,Gasoline,standard SUV,3,15,18,16,2,No
LEXUS LC 500,5.0,8,SemiAuto-10,2WD,Gasoline,small car,5,16,26,19,3,No
LEXUS LC 500h,3.5,6,SCV-10,2WD,Gasoline,small car,7,26,35,30,7,Yes
LEXUS LX 570,5.7,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No
LINCOLN Continental,2.7,6,SemiAuto-6,2WD,Gasoline,large car,5,18,27,21,4,No
LINCOLN Continental,2.7,6,SemiAuto-6,4WD,Gasoline,large car,5,17,25,20,4,No
LINCOLN Continental,3.0,6,SemiAuto-6,4WD,Gasoline,large car,5,16,24,19,3,No
LINCOLN Continental,3.7,6,SemiAuto-6,2WD,Gasoline,large car,3,17,26,20,4,No
LINCOLN Continental,3.7,6,SemiAuto-6,4WD,Gasoline,large car,3,16,24,19,3,No
LINCOLN MKT,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3,15,21,17,3,No
LINCOLN MKT,3.7,6,SemiAuto-6,2WD,Gasoline,standard SUV,3,16,24,19,3,No
LINCOLN MKT Livery,3.7,6,Auto-6,4WD,Gasoline,special purpose,3,16,23,18,3,No
MASERATI Ghibli,3.0,6,Auto-8,2WD,Gasoline,midsize car,1,17,24,19,3,No
MASERATI Ghibli S,3.0,6,Auto-8,2WD,Gasoline,midsize car,1,16,24,19,3,No
MASERATI Ghibli S Q4,3.0,6,Auto-8,4WD,Gasoline,midsize car,1,16,24,19,3,No
MASERATI Granturismo,4.7,8,Auto-6,2WD,Gasoline,small car,1,13,21,16,2,No
MASERATI Granturismo Convertible,4.7,8,Auto-6,2WD,Gasoline,small car,1,13,20,15,2,No
MASERATI Levante,3.0,8,Auto-8,4WD,Gasoline,standard SUV,1,14,20,16,2,No
MASERATI Levante S,3.0,8,Auto-8,4WD,Gasoline,standard SUV,1,14,19,16,2,No
MASERATI Quattroporte S,3.0,6,Auto-8,2WD,Gasoline,large car,1,16,23,18,3,No
MASERATI Quattroporte S Q4,3.0,6,Auto-8,4WD,Gasoline,large car,1,16,23,18,3,No
MAZDA 3,2.0,4,Man-6,2WD,Gasoline,midsize car,7,27,37,31,7,Yes
MAZDA 3,2.0,4,Man-6,2WD,Gasoline,small car,7,28,38,31,7,Yes
MAZDA 3,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7,28,37,32,7,Yes
MAZDA 3,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7,28,37,31,7,Yes
MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,midsize car,7,26,35,30,7,Yes
MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,small car,7,27,36,30,7,Yes
MAZDA CX-3,2.0,4,SemiAuto-6,2WD,Gasoline,small car,3,29,34,31,7,Yes
MAZDA CX-3,2.0,4,SemiAuto-6,4WD,Gasoline,small car,3,27,32,29,6,No
MAZDA CX-9,2.5,4,SemiAuto-6,2WD,Gasoline,small SUV,3,22,28,24,5,No
MAZDA CX-9,2.5,4,SemiAuto-6,4WD,Gasoline,small SUV,3,20,26,23,5,No
MERCEDES-BENZ AMG C63,4.0,8,Auto-7,2WD,Gasoline,small car,5,17,22,19,3,No
MERCEDES-BENZ AMG C63,4.0,8,Auto-7,2WD,Gasoline,small car,5,17,23,19,3,No
